# Phase 3.5 A/B of the two-row K-quant kernels (not shipped): 'aqueduct bench kernels --ab', a mode that alternated the two-row matvec and the
# single-row path (matmul with a batch of one, the same kernels one row at a time) 21 times per line in one process and reported the median GB/s of
# each and the ratio, so both variants saw the same machine state. Taken 2026-09-04 02:12 right after the first bench_rounds run. (The annotation on
# that run claimed a runaway service and a 96 C box; it was a broken performance counter and the machine was idle -- finding 47. An interleaved A/B is
# immune to that either way: both variants see whatever the machine is doing.) Two-row is slower on 51 of 54 lines (ratio 0.65 to 1.16, mostly 0.85 to 0.95; Q6_K worst), so matvec stays one row
# per pass and the dot2_* kernels and the --ab mode were removed again (finding 49). The single-row numbers are also the only burst measurement of the
# Phase 3.5 kernels on this box: at 17408 x 5120 (no cache help) the Q8_K kernels read 27 to 34 GB/s at 6 threads = at or above the round's membw
# (27 to 32 GB/s): memory-bound when the clock is up. 5120 x 5120 (21.5 MB Q6_K, 14.7 MB Q4_K) is partly L3-assisted between alternations, hence > membw.
# A/B run 1, 5120 x 5120
# aqueduct bench kernels: rows=5120 cols=5120 reps>=3, threads [1, 6, 12] (available 12); avx2+f16c detected: true
# matvec: weight GB/s = rows * row_bytes / seconds per matvec (the bytes a projection streams per token)
# act: q8_k = ggml's Q8_K activations (the production path for K-quant weights, Phase 3.5); q8_0 = Q8_0 activations (--q8-fine for K-quants; the only form for Q8_0 / Q4_0 weights)
# A/B: two-row matvec vs single-row (matmul, batch of one), alternated 21 x per line, median GB/s of each and the ratio
kernel   act    thr  two-row GB/s  one-row GB/s   ratio
Q4_K     q8_k     1          7.38          7.93   0.931
Q4_K     q8_k     6         29.31         30.73   0.954
Q4_K     q8_k    12         26.53         22.89   1.159
Q4_K     q8_0     1          6.08          6.62   0.920
Q4_K     q8_0     6         27.27         30.37   0.898
Q4_K     q8_0    12         28.29         29.15   0.971
Q5_K     q8_k     1          7.25          8.06   0.899
Q5_K     q8_k     6         31.32         28.73   1.090
Q5_K     q8_k    12         30.52         32.61   0.936
Q5_K     q8_0     1          6.38          6.79   0.939
Q5_K     q8_0     6         29.90         31.14   0.960
Q5_K     q8_0    12         29.32         30.98   0.946
Q6_K     q8_k     1          7.83          9.44   0.829
Q6_K     q8_k     6         35.34         41.04   0.861
Q6_K     q8_k    12         29.12         31.21   0.933
Q6_K     q8_0     1          5.61          7.93   0.707
Q6_K     q8_0     6         27.11         34.76   0.780
Q6_K     q8_0    12         25.22         29.69   0.849
# A/B, 17408 x 5120
# aqueduct bench kernels: rows=17408 cols=5120 reps>=3, threads [1, 6, 12] (available 12); avx2+f16c detected: true
# matvec: weight GB/s = rows * row_bytes / seconds per matvec (the bytes a projection streams per token)
# act: q8_k = ggml's Q8_K activations (the production path for K-quant weights, Phase 3.5); q8_0 = Q8_0 activations (--q8-fine for K-quants; the only form for Q8_0 / Q4_0 weights)
# A/B: two-row matvec vs single-row (matmul, batch of one), alternated 21 x per line, median GB/s of each and the ratio
kernel   act    thr  two-row GB/s  one-row GB/s   ratio
Q4_K     q8_k     1          6.90          7.86   0.877
Q4_K     q8_k     6         27.64         33.55   0.824
Q4_K     q8_k    12         25.49         27.28   0.934
Q4_K     q8_0     1          5.87          6.47   0.907
Q4_K     q8_0     6         27.60         29.05   0.950
Q4_K     q8_0    12         23.73         25.08   0.946
Q5_K     q8_k     1          6.95          7.99   0.869
Q5_K     q8_k     6         28.97         30.41   0.953
Q5_K     q8_k    12         26.17         27.18   0.963
Q5_K     q8_0     1          6.26          6.61   0.948
Q5_K     q8_0     6         27.30         30.49   0.896
Q5_K     q8_0    12         24.51         25.54   0.960
Q6_K     q8_k     1          7.40          8.92   0.830
Q6_K     q8_k     6         28.26         30.51   0.926
Q6_K     q8_k    12         24.43         28.30   0.863
Q6_K     q8_0     1          5.16          7.05   0.732
Q6_K     q8_0     6         25.05         29.96   0.836
Q6_K     q8_0    12         21.86         26.53   0.824
# A/B run 2, 5120 x 5120
# aqueduct bench kernels: rows=5120 cols=5120 reps>=3, threads [1, 6, 12] (available 12); avx2+f16c detected: true
# matvec: weight GB/s = rows * row_bytes / seconds per matvec (the bytes a projection streams per token)
# act: q8_k = ggml's Q8_K activations (the production path for K-quant weights, Phase 3.5); q8_0 = Q8_0 activations (--q8-fine for K-quants; the only form for Q8_0 / Q4_0 weights)
# A/B: two-row matvec vs single-row (matmul, batch of one), alternated 21 x per line, median GB/s of each and the ratio
kernel   act    thr  two-row GB/s  one-row GB/s   ratio
Q4_K     q8_k     1          7.42          8.17   0.908
Q4_K     q8_k     6         31.31         32.49   0.964
Q4_K     q8_k    12         27.67         27.16   1.019
Q4_K     q8_0     1          6.19          6.50   0.951
Q4_K     q8_0     6         16.94         18.09   0.937
Q4_K     q8_0    12         26.43         26.12   1.012
Q5_K     q8_k     1          7.55          8.13   0.929
Q5_K     q8_k     6         32.42         34.17   0.949
Q5_K     q8_k    12         32.51         33.44   0.972
Q5_K     q8_0     1          6.34          6.88   0.921
Q5_K     q8_0     6         29.09         29.96   0.971
Q5_K     q8_0    12         26.33         28.44   0.926
Q6_K     q8_k     1          8.13          9.61   0.846
Q6_K     q8_k     6         33.93         39.33   0.863
Q6_K     q8_k    12         31.95         34.31   0.931
Q6_K     q8_0     1          5.62          7.35   0.765
Q6_K     q8_0     6         27.46         33.77   0.813
Q6_K     q8_0    12         19.02         29.30   0.649
